1	1	0	26	1	0
1	2	26	52	6	0
1	3	52	54	9	0
1	4	54	115	10	0
1	5	115	159	13	0
2	1	140	178	1	0
2	2	199	220	6	0
2	3	228	237	7	0
2	4	244	331	10	0
2	5	331	343	15	0
3	1	29	73	2	0
3	2	79	126	4	0
3	3	126	189	9	0
3	4	200	235	10	0
3	5	253	311	13	0
4	1	114	124	2	0
4	2	149	189	6	0
4	3	221	277	8	0
4	4	277	282	12	0
4	5	282	315	15	0
5	1	90	113	2	0
5	2	134	187	5	0
5	3	190	220	8	0
5	4	220	234	11	0
5	5	234	262	14	0
6	1	15	35	3	0
6	2	35	44	4	0
6	3	44	45	7	0
6	4	45	77	12	0
6	5	77	96	15	0
7	1	207	254	2	0
7	2	287	317	4	0
7	3	317	334	7	0
7	4	335	346	10	0
7	5	346	352	14	0
8	1	69	132	1	0
8	2	177	188	4	0
8	3	193	223	9	0
8	4	236	311	11	0
8	5	317	337	13	0
9	1	66	102	3	0
9	2	112	144	6	0
9	3	145	166	8	0
9	4	176	193	10	0
9	5	193	220	14	0
10	1	16	25	2	0
10	2	25	56	5	0
10	3	56	101	7	0
10	4	101	154	11	0
10	5	154	218	15	0
11	1	169	199	2	0
11	2	221	283	4	0
11	3	286	345	8	0
11	4	347	348	10	0
11	5	348	351	15	0
12	1	144	198	3	0
12	2	213	284	5	0
12	3	290	334	9	0
12	4	335	346	11	0
12	5	346	352	13	0
13	1	181	224	1	0
13	2	225	247	6	0
13	3	248	278	9	0
13	4	284	322	12	0
13	5	322	326	15	0
14	1	0	7	2	0
14	2	7	16	5	0
14	3	22	102	8	0
14	4	119	150	10	0
14	5	150	152	14	0
15	1	74	88	2	0
15	2	88	109	6	0
15	3	109	137	8	0
15	4	175	212	12	0
15	5	230	250	13	0
16	1	105	139	3	0
16	2	196	219	4	0
16	3	226	236	9	0
16	4	239	240	10	0
16	5	256	259	15	0
17	1	31	66	1	0
17	2	66	70	4	0
17	3	80	122	9	0
17	4	159	212	11	0
17	5	230	249	15	0
18	1	50	63	3	0
18	2	63	69	6	0
18	3	69	72	9	0
18	4	86	174	12	0
18	5	174	221	13	0
19	1	0	11	3	0
19	2	11	24	4	0
19	3	24	29	9	0
19	4	29	78	11	0
19	5	78	95	13	0
20	1	41	46	3	0
20	2	58	130	5	0
20	3	130	219	7	0
20	4	219	272	12	0
20	5	272	337	14	0
